,codeBlockId,codeBlock_start,codeBlock_end,codeBlock_fileinfo,codeblock_Code,tokens,codeCloneBlockId,codeCloneBlock_Fileinfo,Similarity_Tokens,Similarity_Variable_Flow,Similarity_MethodCall_Flow,nloc,change_type,commitinfo,committer_date,Revision,datetime
0,CodeBlock1,10,19,D:/projects/clone/test_project/Chapter11\Rational - Copy.java,"['   public static void main(String args[]){', '      Rational\ttemp1\t= new\tRational();', '      temp1.setNumerator(17);', '      temp1.setDenominator(-12);', '      temp1.printRational();', '      Rational\ttemp2\t= new\tRational(temp1.getDenominator(),15);', '      temp2.negate();', '      temp2.invert();', '      System.out.println(temp2+"" ""+temp2.add(temp1)+"" ""+temp2.toDouble());', '   }']","{'public': 1, 'static': 1, 'void': 1, 'main': 1, 'String': 1, 'TOKEN_VARIABLE': 7, 'new': 2, 'Rational': 2, 'setNumerator': 1, 'INTEGER_LITERAL': 8, 'setDenominator': 1, 'printRational': 1, 'getDenominator': 1, 'negate': 1, 'invert': 1, 'println': 1, 'STRING_LITERAL': 2, 'add': 1, 'toDouble': 1}",CodeBlock2,D:/projects/clone/test_project/Chapter11\Rational.java,1.0,1.0,1.0,4,NA,NA,<class 'datetime.date'>,5,2022-10-19 01:33:32.647616
1,CodeBlock2,10,19,D:/projects/clone/test_project/Chapter11\Rational.java,"['   public static void main(String args[]){', '      Rational\ttemp1\t= new\tRational();', '      temp1.setNumerator(17);', '      temp1.setDenominator(-12);', '      temp1.printRational();', '      Rational\ttemp2\t= new\tRational(temp1.getDenominator(),15);', '      temp2.negate();', '      temp2.invert();', '      System.out.println(temp2+"" ""+temp2.add(temp1)+"" ""+temp2.toDouble());', '   }']","{'public': 1, 'static': 1, 'void': 1, 'main': 1, 'String': 1, 'TOKEN_VARIABLE': 7, 'new': 2, 'Rational': 2, 'setNumerator': 1, 'INTEGER_LITERAL': 8, 'setDenominator': 1, 'printRational': 1, 'getDenominator': 1, 'negate': 1, 'invert': 1, 'println': 1, 'STRING_LITERAL': 2, 'add': 1, 'toDouble': 1}",CodeBlock1,D:/projects/clone/test_project/Chapter11\Rational - Copy.java,1.0,1.0,1.0,4,NA,NA,<class 'datetime.date'>,5,2022-10-19 01:33:32.647616
2,CodeBlock7,30,44,D:/projects/clone/test_project/Chapter13\Card - Copy.java,"['    public int compareTo(Card that) {', '        if (this.suit < that.suit) {', '            return -1;', '        }', '        if (this.suit > that.suit) {', '            return 1;', '        }', '        if (this.rank < that.rank) {', '            return -1;', '        }', '        if (this.rank > that.rank) {', '            return 1;', '        }', '        return 0;', '    }']","{'public': 1, 'int': 1, 'compareTo': 1, 'TOKEN_VARIABLE': 10, 'if': 4, 'return': 5, 'INTEGER_LITERAL': 7}",CodeBlock8,D:/projects/clone/test_project/Chapter13\Card.java,1.0,1.0,1.0,4,NA,NA,<class 'datetime.date'>,5,2022-10-19 01:33:32.647616
3,CodeBlock7,30,44,D:/projects/clone/test_project/Chapter13\Card - Copy.java,"['    public int compareTo(Card that) {', '        if (this.suit < that.suit) {', '            return -1;', '        }', '        if (this.suit > that.suit) {', '            return 1;', '        }', '        if (this.rank < that.rank) {', '            return -1;', '        }', '        if (this.rank > that.rank) {', '            return 1;', '        }', '        return 0;', '    }']","{'public': 1, 'int': 1, 'compareTo': 1, 'TOKEN_VARIABLE': 10, 'if': 4, 'return': 5, 'INTEGER_LITERAL': 7}",CodeBlock19,D:/projects/clone/test_project/Chapter14\Card - Copy.java,1.0,1.0,1.0,4,NA,NA,<class 'datetime.date'>,5,2022-10-19 01:33:32.647616
4,CodeBlock7,30,44,D:/projects/clone/test_project/Chapter13\Card - Copy.java,"['    public int compareTo(Card that) {', '        if (this.suit < that.suit) {', '            return -1;', '        }', '        if (this.suit > that.suit) {', '            return 1;', '        }', '        if (this.rank < that.rank) {', '            return -1;', '        }', '        if (this.rank > that.rank) {', '            return 1;', '        }', '        return 0;', '    }']","{'public': 1, 'int': 1, 'compareTo': 1, 'TOKEN_VARIABLE': 10, 'if': 4, 'return': 5, 'INTEGER_LITERAL': 7}",CodeBlock20,D:/projects/clone/test_project/Chapter14\Card.java,1.0,1.0,1.0,4,NA,NA,<class 'datetime.date'>,5,2022-10-19 01:33:32.647616
5,CodeBlock8,30,44,D:/projects/clone/test_project/Chapter13\Card.java,"['    public int compareTo(Card that) {', '        if (this.suit < that.suit) {', '            return -1;', '        }', '        if (this.suit > that.suit) {', '            return 1;', '        }', '        if (this.rank < that.rank) {', '            return -1;', '        }', '        if (this.rank > that.rank) {', '            return 1;', '        }', '        return 0;', '    }']","{'public': 1, 'int': 1, 'compareTo': 1, 'TOKEN_VARIABLE': 10, 'if': 4, 'return': 5, 'INTEGER_LITERAL': 7}",CodeBlock7,D:/projects/clone/test_project/Chapter13\Card - Copy.java,1.0,1.0,1.0,4,NA,NA,<class 'datetime.date'>,5,2022-10-19 01:33:32.647616
6,CodeBlock8,30,44,D:/projects/clone/test_project/Chapter13\Card.java,"['    public int compareTo(Card that) {', '        if (this.suit < that.suit) {', '            return -1;', '        }', '        if (this.suit > that.suit) {', '            return 1;', '        }', '        if (this.rank < that.rank) {', '            return -1;', '        }', '        if (this.rank > that.rank) {', '            return 1;', '        }', '        return 0;', '    }']","{'public': 1, 'int': 1, 'compareTo': 1, 'TOKEN_VARIABLE': 10, 'if': 4, 'return': 5, 'INTEGER_LITERAL': 7}",CodeBlock19,D:/projects/clone/test_project/Chapter14\Card - Copy.java,1.0,1.0,1.0,4,NA,NA,<class 'datetime.date'>,5,2022-10-19 01:33:32.647616
7,CodeBlock8,30,44,D:/projects/clone/test_project/Chapter13\Card.java,"['    public int compareTo(Card that) {', '        if (this.suit < that.suit) {', '            return -1;', '        }', '        if (this.suit > that.suit) {', '            return 1;', '        }', '        if (this.rank < that.rank) {', '            return -1;', '        }', '        if (this.rank > that.rank) {', '            return 1;', '        }', '        return 0;', '    }']","{'public': 1, 'int': 1, 'compareTo': 1, 'TOKEN_VARIABLE': 10, 'if': 4, 'return': 5, 'INTEGER_LITERAL': 7}",CodeBlock20,D:/projects/clone/test_project/Chapter14\Card.java,1.0,1.0,1.0,4,NA,NA,<class 'datetime.date'>,5,2022-10-19 01:33:32.647616
8,CodeBlock9,155,164,D:/projects/clone/test_project/Chapter13\Deck - Copy.java,"['   public Deck() {', '      this.cards = new Card[52];', '      int index = 0;', '      for (int suit = 0; suit <= 3; suit++) {', '         for (int rank = 1; rank <= 13; rank++) {', '            this.cards[index] = new Card(rank, suit);', '            index++;', '         }', '      }', '   }']","{'public': 1, 'Deck': 1, 'TOKEN_VARIABLE': 14, 'new': 2, 'INTEGER_LITERAL': 12, 'int': 3, 'for': 2, 'Card': 1}",CodeBlock13,D:/projects/clone/test_project/Chapter13\Deck.java,1.0,1.0,1.0,4,NA,NA,<class 'datetime.date'>,5,2022-10-19 01:33:32.647616
9,CodeBlock10,71,100,D:/projects/clone/test_project/Chapter13\Deck - Copy.java,"['   public static Deck merge(Deck d1, Deck d2) {', '      Card[] c1 = d1.getCards();', '      Card[] c2 = d2.getCards();', '      int l1 = c1.length;', '      int l2 = c2.length;', '      Card[] sorted = new Card[l1+l2];', '      int i = 0;', '      int j = 0;', '      if (l1 == 0){ { ', '         sorted = c2; } ', '      } ', '      else if (l2 == 0){ {  { ', '         sorted = c1; } ', '      } ', '      else {', '         for (int k = 0;k<sorted.length;k++){ { ', '            if (j >= c2.length || i < c1.length && c1[i].compareTo(c2[j]) <= 0){ { ', '               sorted[k] = c1[i]; } ', '               i++; } ', '            } ', '            else {', '               sorted[k] = c2[j]; } ', '               j++;', '            }', '         }', '      }', '      Deck deck = new Deck(l1+l2);', '      deck.cards = sorted;', '      return deck;', '   }']","{'public': 1, 'static': 1, 'TOKEN_VARIABLE': 58, 'merge': 1, 'getCards': 2, 'int': 5, 'new': 2, 'INTEGER_LITERAL': 14, 'if': 3, 'for': 1, 'compareTo': 1, 'Deck': 1, 'return': 1}",CodeBlock14,D:/projects/clone/test_project/Chapter13\Deck.java,1.0,1.0,1.0,4,NA,NA,<class 'datetime.date'>,5,2022-10-19 01:33:32.647616
